home win percentage,home last 5 wins,home avg points,home last 5 points,away win percentage,away last 5 wins,away avg points,away last 5 points,winner
0.0,0,0,0,0.0,0,0,0,0
0.0,0,0,0,0.0,0,0,0,0
0.0,0,0,0,0.0,0,0,0,0
0.0,0,0,0,0.0,0,0,0,0
0.0,0,0,0,1.0,1,107,107,0
0.0,0,0,0,0.0,0,0,0,0
0.0,0,0,0,0.0,0,0,0,0
0.0,0,0,0,0.0,0,0,0,0
0.0,0,0,0,0.0,0,0,0,0
0.0,0,0,0,0.0,0,87,87,0
0.0,0,0,0,1.0,1,97,97,1
0.0,0,0,0,0.0,0,0,0,0
0.0,0,0,0,0.0,0,0,0,0
0.0,0,0,0,0.0,0,0,0,1
0.0,0,0,0,0.0,0,0,0,0
0.0,0,0,0,0.0,0,0,0,0
0.0,0,0,0,1.0,1,116,116,0
0.0,0,95,95,1.0,1,90,90,0
0.0,0,103,103,1.0,1,125,125,0
0.0,0,83,83,1.0,1,98,98,0
0.0,0,101,202,0.0,0,90,90,0
0.0,0,102,102,1.0,1,114,114,1
0.0,0,109,109,1.0,1,93,93,0
0.0,0,87,87,0.0,0,83,83,1
1.0,1,96,96,1.0,1,118,118,0
0.0,0,94,94,1.0,1,113,113,0
1.0,1,120,120,1.0,1,101,101,0
0.0,0,94,94,0.5,1,108,217,0
0.0,0,88,88,0.0,0,91,91,1
1.0,1,104,104,0.0,0,98,98,0
1.0,1,90,90,0.5,1,114,229,1
0.5,1,105,210,1.0,1,101,101,1
1.0,2,96,192,0.5,1,91,182,0
1.0,2,112,223,0.5,1,88,177,0
0.0,0,90,180,0.5,1,86,173,0
0.5,1,112,223,0.5,1,102,205,0
0.5,1,94,188,0.5,1,94,188,1
0.0,0,91,182,1.0,2,104,209,1
0.5,1,102,204,1.0,2,96,192,0
0.5,1,120,240,0.5,1,96,191,0
0.5,1,110,221,0.0,0,92,185,0
0.333,1,106,317,0.0,0,102,204,0
0.333,1,104,312,0.5,1,98,195,0
0.5,1,91,182,1.0,2,96,191,0
0.5,1,86,171,1.0,2,110,220,1
0.333,1,98,295,0.5,1,106,211,0
0.333,1,85,256,1.0,3,110,329,0
1.0,3,110,330,0.667,2,113,338,1
0.333,1,101,304,0.0,0,87,262,0
0.667,2,113,339,1.0,3,104,313,0
0.667,2,95,285,0.5,2,105,420,1
0.333,1,94,281,0.0,0,92,275,0
0.667,2,103,308,1.0,3,94,281,1
0.333,1,90,271,0.333,1,86,257,1
0.333,1,95,285,0.667,2,96,287,1
0.667,2,111,334,0.5,2,100,400,0
0.0,0,93,186,0.667,2,99,297,1
0.667,2,106,319,0.75,3,108,431,1
0.333,1,93,278,0.333,1,105,314,1
0.5,2,90,359,0.5,2,95,380,0
1.0,4,95,380,0.333,1,94,281,0
0.5,2,105,419,0.75,3,119,476,0
0.75,3,105,420,0.0,0,99,297,1
0.0,0,88,350,0.0,0,91,363,0
0.5,2,100,399,0.25,1,96,383,1
0.333,1,93,278,0.5,2,87,349,0
0.75,3,105,421,0.75,3,112,448,1
0.75,3,100,399,0.75,3,98,391,0
0.667,2,95,285,0.75,3,114,457,0
0.6,3,105,524,0.6,3,113,566,0
0.0,0,93,280,0.5,2,105,419,0
0.8,4,109,547,0.4,2,101,504,1
0.6,3,90,451,0.25,1,92,368,1
1.0,5,95,477,0.4,2,94,470,0
0.6,3,103,517,0.2,1,89,447,1
0.6,3,104,522,0.4,2,91,453,0
0.25,1,103,413,0.5,2,96,385,0
0.5,2,100,399,0.75,3,98,392,1
0.25,1,90,361,0.0,0,90,450,0
0.6,3,103,514,0.6,3,110,550,0
0.4,2,96,482,0.5,2,100,487,0
0.8,4,100,498,0.8,4,111,554,0
0.6,3,97,487,0.25,1,97,389,0
0.5,2,105,420,0.25,1,94,378,0
0.333,1,92,461,0.0,0,87,425,0
0.4,2,105,526,0.5,3,101,519,0
0.4,2,99,493,1.0,5,95,471,1
0.333,1,89,434,0.667,3,103,502,0
0.667,3,104,519,0.333,2,90,451,1
0.667,3,108,549,0.5,3,110,560,1
0.4,2,97,483,0.667,3,105,503,0
0.5,2,97,387,0.5,2,110,540,1
0.2,1,94,469,0.6,3,105,524,1
0.4,2,94,469,0.833,4,96,473,1
0.8,4,102,511,0.4,2,105,525,0
0.667,3,100,497,0.5,3,96,488,0
0.429,2,98,478,0.667,3,105,510,1
0.5,3,90,459,0.5,3,105,521,1
1.0,5,95,472,0.5,3,98,497,0
0.571,2,106,518,0.857,4,99,502,1
0.429,3,93,464,0.429,3,100,498,0
0.4,2,92,458,0.429,2,94,477,0
0.571,2,106,530,0.429,2,96,481,0
0.0,0,88,432,0.2,1,98,492,1
0.667,4,103,529,0.4,2,102,509,0
0.571,3,110,541,0.714,3,106,523,0
0.571,3,105,519,0.4,2,94,470,0
0.571,3,107,526,0.333,2,105,528,0
0.571,3,103,478,0.333,1,102,499,0
0.375,2,97,483,0.429,3,96,492,0
0.375,2,101,493,0.333,2,94,482,0
0.5,1,103,496,0.625,2,106,536,0
0.5,4,96,507,0.429,2,91,463,1
0.429,2,96,465,0.375,1,97,488,1
0.625,2,106,521,0.375,2,92,484,0
0.571,3,105,522,0.333,1,93,468,1
0.875,5,100,506,0.286,2,104,521,0
0.333,2,99,504,0.444,2,99,494,0
0.0,0,87,420,0.375,2,96,482,0
0.714,4,104,525,0.714,3,100,511,0
0.167,0,92,464,0.333,2,97,490,0
0.625,3,110,540,0.833,4,103,516,0
0.429,2,93,482,0.556,2,107,535,1
0.625,3,104,493,0.714,4,103,538,0
1.0,5,95,478,0.286,1,94,468,0
0.444,2,97,496,0.5,3,92,459,1
0.5,3,103,510,0.556,2,105,529,0
0.444,4,95,502,0.75,4,102,500,1
0.333,1,93,486,0.5,3,91,468,1
0.625,4,107,537,0.625,3,107,520,0
0.429,3,100,517,0.667,3,108,553,0
0.625,3,99,504,0.286,1,96,475,1
0.111,1,90,443,0.889,5,99,496,1
0.4,2,99,489,0.375,2,95,453,1
0.286,1,94,470,0.286,1,101,486,1
0.556,3,90,452,0.667,4,107,544,1
0.444,2,100,480,0.556,2,106,501,1
0.25,2,100,507,0.3,1,92,462,1
0.375,2,95,488,0.556,3,104,518,1
0.571,3,93,473,1.0,5,96,483,0
0.6,2,108,528,0.5,4,102,540,0
0.6,3,109,573,0.4,3,95,501,0
0.333,2,97,489,0.5,2,105,530,0
0.25,1,92,455,0.625,3,104,550,1
0.667,3,105,499,0.1,1,89,438,0
0.667,3,110,514,0.375,2,96,489,0
0.4,2,96,486,0.778,5,103,508,1
0.25,1,94,473,0.444,2,94,447,1
0.364,1,98,476,0.375,1,100,496,0
0.333,1,97,488,0.8,5,105,522,1
0.625,4,95,479,0.5,2,89,441,0
0.667,3,103,535,0.444,3,103,542,0
0.6,3,107,516,0.455,1,105,534,0
0.091,1,89,453,0.7,3,105,495,1
0.7,4,110,534,0.5,3,94,460,1
0.222,1,100,487,0.636,3,108,563,0
0.333,1,100,504,0.333,2,94,481,0
0.7,4,106,537,0.6,4,105,521,0
0.636,3,109,552,0.364,2,94,498,0
0.222,1,93,459,0.556,2,99,498,0
0.455,2,88,431,0.3,1,97,478,0
0.364,2,93,486,0.3,1,100,479,1
0.3,1,94,466,0.9,4,96,480,1
0.4,1,100,482,0.727,4,106,539,1
0.417,1,104,503,0.364,2,97,512,1
0.545,3,103,505,0.4,2,100,486,0
0.222,0,90,425,0.818,5,105,534,1
0.583,2,108,550,0.636,4,109,539,1
0.4,2,101,525,0.083,1,89,449,0
0.9,5,99,488,0.333,1,93,472,0
0.5,2,99,506,0.3,2,94,475,1
0.636,4,106,505,0.667,4,109,567,0
0.727,4,104,519,0.545,3,95,458,1
0.7,3,104,531,0.667,4,109,534,0
0.4,3,104,552,0.667,5,94,485,0
0.5,3,89,432,0.455,1,100,498,1
0.385,1,103,516,0.2,0,89,424,0
0.417,2,98,505,0.364,2,100,472,0
0.308,0,93,445,0.909,4,96,492,1
0.364,2,98,468,0.583,3,102,495,1
0.583,4,95,467,0.909,5,99,516,1
0.538,2,107,541,0.273,1,97,478,0
0.455,2,101,534,0.333,1,92,450,0
0.667,4,107,537,0.077,1,89,466,0
0.833,5,104,516,0.6,4,93,475,0
0.417,2,99,505,0.667,4,102,510,0
0.615,3,107,516,0.364,3,96,503,0
0.917,4,96,493,0.429,1,104,508,0
0.333,2,99,465,0.273,1,94,473,0
0.615,4,102,500,0.286,0,93,444,1
0.75,5,107,549,0.364,1,99,485,0
0.615,3,110,577,0.571,2,107,528,0
0.182,0,91,436,0.462,2,89,434,1
0.917,5,99,498,0.308,1,93,469,0
0.455,3,104,549,0.692,4,107,535,0
0.615,3,102,492,0.846,5,103,524,1
0.25,1,95,473,0.333,2,97,462,1
0.643,3,107,508,0.545,3,93,474,0
0.333,1,99,490,0.5,1,100,495,1
0.727,3,104,530,0.071,0,90,448,0
0.462,3,100,517,0.333,2,97,498,0
0.5,2,90,444,0.333,1,93,442,1
0.923,4,97,504,0.533,2,107,516,0
0.385,2,98,474,0.167,0,89,417,0
0.769,5,107,532,0.538,2,100,510,0
0.538,4,94,466,0.643,4,110,572,1
0.643,4,106,531,0.5,3,104,540,1
0.923,5,101,515,0.5,3,101,544,0
0.067,0,88,439,0.5,2,92,460,0
0.857,5,104,528,0.25,0,93,467,0
0.462,3,98,497,0.231,0,95,470,1
0.385,3,99,484,0.5,3,100,501,0
0.571,3,101,474,0.308,1,99,481,1
0.462,3,101,542,0.571,2,102,477,1
0.467,2,89,449,0.929,4,97,498,1
0.357,1,100,496,0.4,1,104,503,0
0.375,2,93,450,0.5,3,94,463,1
0.286,1,96,469,0.467,3,100,513,1
0.286,1,93,470,0.786,5,107,529,1
0.429,3,99,488,0.462,1,92,433,1
0.667,4,109,556,0.533,2,100,456,0
0.154,0,90,434,0.429,4,100,504,1
0.5,1,105,494,0.538,3,104,533,1
0.75,4,104,522,0.929,5,102,535,0
0.6,3,106,519,0.6,2,102,477,0
0.5,2,100,504,0.867,5,104,512,0
0.667,3,108,519,0.231,0,93,452,0
0.438,2,88,442,0.143,0,90,447,0
0.4,2,100,501,0.867,4,101,532,1
0.429,2,98,494,0.8,5,106,527,1
0.5,2,99,452,0.625,3,106,525,0
0.353,2,93,458,0.267,1,93,474,0
0.4,2,98,475,0.5,4,100,526,1
0.688,4,109,547,0.267,1,96,465,0
0.769,5,103,501,0.562,1,102,478,0
0.933,5,97,503,0.467,4,100,500,0
0.375,1,103,499,0.429,3,101,538,1
0.571,4,105,539,0.214,0,92,442,0
0.125,1,88,440,0.533,3,101,520,1
0.308,2,96,494,0.688,4,107,510,1
0.438,3,99,475,0.529,2,99,447,0
0.25,0,92,457,0.5,1,92,446,0
0.533,3,94,466,0.25,1,96,469,1
0.588,2,104,489,0.471,1,106,504,1
0.875,4,102,537,0.706,4,109,552,1
0.562,4,102,526,0.118,1,89,454,1
0.133,0,89,441,0.389,3,93,468,0
0.4,2,97,497,0.6,5,104,523,1
0.706,4,107,512,0.938,5,97,493,1
0.375,2,98,492,0.353,1,103,510,0
0.286,2,96,506,0.529,1,102,509,1
0.812,5,105,513,0.471,2,89,439,0
0.786,5,104,522,0.5,2,106,518,0
0.2,0,92,451,0.467,3,102,524,1
0.529,4,101,518,0.812,4,104,510,1
0.471,4,99,495,0.375,2,99,500,0
0.467,1,92,452,0.5,3,102,522,1
0.824,3,102,541,0.5,1,99,452,0
0.167,2,90,468,0.722,5,109,544,0
0.824,4,105,533,0.941,5,98,501,0
0.333,1,103,512,0.353,2,98,481,0
0.368,3,93,471,0.188,1,89,426,0
0.294,2,96,485,0.625,5,105,538,1
0.824,5,105,492,0.412,3,99,518,1
0.5,2,94,448,0.529,3,102,532,0
0.556,1,104,492,0.444,2,89,446,0
0.267,1,97,512,0.8,5,104,520,1
0.556,2,103,529,0.375,2,97,485,0
0.294,1,92,463,0.647,5,105,547,0
0.474,1,99,465,0.667,4,106,521,0
0.684,4,109,535,0.5,2,101,519,1
0.176,1,90,454,0.444,3,100,516,1
0.529,3,104,549,0.579,2,104,481,1
0.211,3,91,484,0.889,4,98,497,1
0.474,1,106,510,0.833,3,102,517,0
0.833,4,105,541,0.812,5,104,512,0
0.278,2,95,475,0.188,0,93,454,1
0.529,2,95,470,0.632,3,106,515,1
0.438,1,95,485,0.778,4,104,488,0
0.421,1,89,432,0.368,1,104,523,0
0.5,4,99,495,0.167,1,90,458,1
0.5,2,99,480,0.333,2,93,461,0
0.4,3,94,485,0.611,4,104,525,0
0.235,1,94,478,0.333,2,100,510,0
0.65,3,108,530,0.579,3,103,540,0
0.5,3,103,553,0.765,4,104,521,1
0.526,3,101,524,0.353,1,97,480,0
0.842,4,105,539,0.2,3,91,497,0
0.25,0,97,494,0.5,3,101,524,1
0.35,1,103,513,0.579,3,104,506,1
0.316,2,93,454,0.65,3,106,495,0
0.471,2,95,510,0.474,3,100,508,1
0.5,2,94,465,0.55,2,102,521,1
0.5,2,106,519,0.737,3,103,468,1
0.211,2,91,475,0.263,1,95,456,1
0.789,2,101,496,0.895,4,98,494,1
0.19,2,92,506,0.235,0,97,492,1
0.85,4,106,567,0.6,3,104,485,1
0.278,2,96,508,0.429,3,94,495,1
0.5,4,100,521,0.75,3,103,476,1
0.667,3,108,522,0.316,1,99,484,0
0.778,4,104,536,0.9,4,98,506,0
0.526,3,101,530,0.333,0,97,481,1
0.45,2,90,451,0.571,3,103,530,0
0.333,1,103,511,0.619,2,105,484,1
0.474,3,99,484,0.6,3,104,512,1
0.474,2,93,461,0.3,0,98,467,0
0.182,2,92,507,0.81,4,106,567,1
0.278,1,98,518,0.619,3,104,490,0
0.35,3,92,458,0.263,2,94,501,0
0.857,3,98,507,0.762,3,104,496,0
0.368,1,98,487,0.75,2,101,508,1
0.524,3,100,504,0.789,4,105,541,1
0.3,2,94,452,0.455,4,95,516,0
0.476,4,99,514,0.476,2,105,517,1
0.444,2,94,502,0.2,2,91,481,1
0.5,3,101,513,0.55,3,101,510,1
0.476,3,91,492,0.286,0,98,461,1
